split,sentence1,sentence2,score
train,"Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors' offices.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,3.455
train,"Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.","Edie Falco was not nominated for ""Frankie and Johnny.""",3.8
train,"Police believe Wilson shot Reynolds, then her mother once in the head before fatally turning the gun on herself.",Authorities performed an autopsy Thursday on one of three bodies recovered from beneath a layer of freshly poured concrete in the basement of a northwest Indiana home.,4.2
train,He left the army for Syria where he received religious training.,"The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday.",3.0
train,"Thirty-three of the 42 men had been arrested by Wednesday evening, said Daniel Bogden, U.S. attorney in Nevada.",Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.,1.0
train,"It exploded in his hands, but the former Italian prime minister was unhurt.","""It just seems like all the issues that we support he doesn't,"" said Gabriela Lemus, the league's director of policy and legislation.",3.4
train,The findings are published in the November 6 edition of the journal Nature.,"The Saint Sophia Camp hosts religious retreats for children during the summer months as well as other events year round, according to its Web site.",1.6
train,"This is America, my friends, and it should not happen here,"" he said to loud applause.","Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.",2.6
train,Former company chief financial officer Franklyn M. Bergonzi pleaded guilty to one count of conspiracy on June 5 and agreed to cooperate with prosecutors.,"On Tuesday, a Florida appeals court again refused to block removal of the tube.",2.5
train,"""They were tossed around like feathers,"" Gordon said.","Along with chip maker Intel, the companies include Sony, Microsoft, Hewlett-Packard, International Business Machines, Gateway, Nokia and others.",3.0
train,"""It just seems like all the issues that we support, he doesn't,"" said Gabriela Lemus of LULAC.","Families stuck on the highway were being urged to remain in their cars, and to use their cell phones only in case of emergency.",2.5
train,The leading actress nod went to energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.,"""Reloaded"" is the second installment of a trilogy; ""The Matrix Revolutions"" is slated for debut in November.",2.8
train,Complicating the situation is the presence of battle-hardened Liberians who have been fighting on both sides.,"The new worm affects these Windows systems: 2000, XP, NT 4.0 and Server 2003.",2.75
train,"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans.","""I'm not going to be sponsoring it because it's not our proposal, but I'm not responding to it in a negative way,"" he said.",2.75
train,"Bush plans to meet with Israeli Prime Minister Ariel Sharon and the new Palestinian prime minister, Mahmoud Abbas, in the Jordanian port of Aqaba on Wednesday.","The Telegraph can reveal that Sir John Stevens, the Metropolitan Police Commissioner, placed his force on its highest alert last week.",1.75
train,U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.,"On Monday, EchoStar (DISH: news, chart, profile) shares shrank $1.40, or 4.4 percent, to $30.63.",4.0
train,"""These changes may affect a large number of existing Web pages,"" the statement continued.",Spitz is expected to testify later for the defense.,1.8
train,"Their leader, Abu Bakr al-Azdi, turned himself in in June; his deputy was killed in a recent shootout with Saudi forces.",The cradle for the h2200 has space for recharging a second battery.,1.4
train,"The military said it had killed 12 rebels and captured nine in the campaign so far, for the loss of six soldiers wounded.","And I really liked him, and I still do.",2.5
train,"Founders of the group are Matsushita Electric, Sony, Hitachi, NEC, Royal Philips Electronics, Samsung, Sharp and Toshiba.",The commission estimated California lost $937 million to corporate tax shelters in 2001.,3.8
train,"The 51-year-old nurse worked at North York General Hospital, the epicentre of the latest outbreak.","Mr Blair went on: ""I think we did the right thing in relation to Iraq.",3.4
train,The elderly and those with weakened immune systems are also urged to protect against mosquito bites.,"By law, 911 calls are not public information in Rhode Island.",0.8
train,Dusty had battled kidney cancer for more than a year.,"""We're in the Stanley Cup finals, and it was a little bit embarrassing the way we played in the first two games.",5.0
train,The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.,He had been arrested twice before for trespassing and was barred from the complex.,5.0
train,"With diplomacy heating up in the nearly 10-month-old nuclear crisis, Chinese Foreign Minister Li Zhaoxing is slated to visit South Korea from August 13 to 15.","The number of households acquiring music fell from a high of 14.5 million in April to 12.7 million in May and 10.4 million in June, according to NPD.",3.8
train,"While some other parts of Africa have been used as staging grounds for the terror group, Malawi previously had not been a major focus of investigations into al-Qaida.",Spansion Flash memory solutions are available worldwide from AMD and Fujitsu.,2.588
train,"Once converted, BayStar will own an aggregate of approximately 2.95 million shares of SCO common stock or 17.5 percent of the company's outstanding shares.","Chiron and Aventis Pasteur together made about 80 million doses, ordinarily enough for U.S. demand, The Associated Press reported.",1.75
train,"They came despite what BA called a ""difficult quarter"", which it said included unofficial industrial action at Heathrow.",The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.,4.0
train,"The pressure may well rise on Thursday, with national coverage of the final round planned by ESPN, the cable sports network.","Rapper C-Murder has been convicted of second-degree murder, a crime that carries an automatic life sentence, in the shooting death of a 16-year-old inside a Jefferson Parish nightclub.",3.5
train,Plofsky said the commission won't investigate because the three-year statute of limitations has expired.,"Swartz had sought to have the charges dismissed, saying New Hampshire was the wrong place to charge him.",3.25
train,Ridge said no real explosives or harmful devices will be used in the exercise.,"Nick Pollard, the head of Sky News said: ""This is a shocking blow for James's family.",4.0
train,"Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.","Hollywood actor Robert De Niro has been diagnosed with prostate cancer, his spokesman said today.",4.6
train,"Cisco executives said they were encouraged by $1.3 billion in cash flow and the increase in net income, but hoped for a rebound.","Halliburton shares fell 54 cents, or 2.4 percent, to $21.76 a share in midday New York Stock Exchange trade.",4.8
train,"The Dow Jones Industrial Average fell 0.7 per cent to 9,547.43 while the S&P 500 was 0.8 per cent weaker at 1,025.79.","The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.",4.0
train,"According to security sources, London Metropolitan Police Commissioner John Stevens placed his force on its highest state of alert last week following the warning.",It will appear in the next few weeks on the Web site of the Proceedings of the National Academy of Sciences.,4.75
train,"Women who eat potatoes and other tuberous vegetables during pregnancy may be at risk of triggering type 1 diabetes in their children, Melbourne researchers believe.",Redman has allowed two earned runs or less in six of his nine starts.,3.4
train,"For the full 12-month period ending June 30, 2003, advanced services lines for ADSL increased by 37 percent and cable modem connections increased by 75 percent.","""Our outcomes are very encouraging,"" George Mason researcher Ken Alibek said.",4.75
train,"Also weighing on the market was news that General Motors GM.N planned to issue $10 billion in debt, in part to plug a hole in its pension plan.","Following California's lead, several states and the federal government passed similar or tougher bans.",3.25
train,British Airways' New York-to-London runs will end in October.,"The arrests came just days after Israeli troops shot and killed Abdullah Kawasme, the militant group's leader in Hebron.",3.0
train,"Dean told reporters traveling on his 10-city ""Sleepless Summer"" tour that he considered campaigning in Texas a challenge.","Griffith, 77, grew up in Mount Airy and now lives in Manteo.",3.6
train,"London-based NCRI official Ali Safavi told Reuters: ""We condemn this raid, which is in our view illegal and morally and politically unjustifiable.""","The tech-laden Nasdaq Composite Index .IXIC shed 8 points, or 0.45 percent, to 1,645.",4.0
train,"For the entire season, the average five-day forecast track error was 259 miles, Franklin said.",National Breast Cancer Centre head Professor Christine Ewan said there was no need for panic.,3.0
train,"This led to the recovery of the 270-kilogram Cancuen altar, announced on Wednesday by the Vanderbilt University in Nashville and the National Geographic Society.",The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $8.98.,2.75
train,"Since early May, the city has received 1,400 reports of dead blue jays and crows, Jayroe said.","""He hasn't got much choice,"" said the Bishop of Armidale, Peter Brain.",1.6
train,"Additionally, the h2210’s cradle has room to charge a second battery.","Amnesty International said that over the past 20 years it had collected information about 17,000 disappearances in Iraq.",0.889
train,"The last time the survey was conducted, in 1995, those numbers matched.",He said he also expects to have the support of lawmakers from other agricultural states.,4.2
train,Selenski descended down the wall and used the mattress to climb over razor wire.,Meningitis is an infection of the fluid in a person's spinal cord and around the brain.,4.6
train,"In April, it had forecast operating earnings in the range of 60 to 80 cents a share.",Supermarket chains are accusing union leaders of breaking off contract talks prematurely over the weekend as grocery clerks gear up for a possible strike.,1.0
train,Florida's Supreme Court has twice refused to hear the case.,"In a news release Thursday, Strayhorn said this was the first time a comptroller rejected a budget.",3.0
train,"After Freitas' opening statement, King County Superior Court Judge Charles Mertel recessed trial until after the Thanksgiving weekend.","The broader Standard & Poor's 500 Index <.SPX> shed 2.38 points, or 0.24 percent, at 995.10.",3.5
train,"At midnight on Wednesday, 68 percent of voters said ""no"" to the tax, with 97 percent of the votes counted.","The Arizona-based ISM reported Monday that its non-manufacturing index rose to 50.7 last month, from 47.9 in March.",1.6
train,"Is it in the food supply?"" says David Ropeik, director of risk communication at the Harvard Center for Risk Analysis.","Shares of McDonald's and Wendy's continued their recent recovery Monday, rising more than 1 percent on the New York Stock Exchange in afternoon trade.",4.6
train,"Captain Robert Ramsey of the US 1st Armoured Division said a truck had exploded outside the building about 11am, and that one of the compound's outer walls had collapsed.","However, we have decided to opt for the European consortium's engine as the best overall solution.""",3.0
train,Dixon was otherwise the class of the field at Pikes Peak International Raceway.,"Another person, a man from Fort Worth, Texas, also was missing.",3.75
train,She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.,"China's foreign ministry said: ""We hope all parties will continue to make efforts and continue the process of dialogue.""",4.6
train,"The Bishop of Armidale, Peter Brain, was forthright.","The House has passed bills the past two Congresses, but the Senate has not.",3.0
train,"Chante Jawan Mallard, 27, went on trial Monday, charged with first-degree murder.","Academic achievement -- including grades, test scores and high school curriculum -- are given the highest priority.",3.8
train,"Along with chipmaker Intel, the companies include Sony Corp., Microsoft Corp., Hewlett-Packard Co., IBM Corp., Gateway Inc. and Nokia Corp.","This is unacceptable,"" said Patrick Pelloux, the president of France's Association of Emergency Doctors.",4.4
train,"""The figures are becoming catastrophic,"" said Dr. Patrick Pelloux, the president of the association of emergency room physicians.","Selenski used the mattress to scale a 10-foot razor wire, Fischi said.",3.6
train,The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.,But company officials expect the costs of the replacement work to run into the millions of dollars.,5.0
train,"Michael Bloomberg, NYC Mayor: ""I'm gonna try march with a number of different groups.",The bill is among the first of 13 that Congress must pass each year to fund the federal government.,4.4
train,"Her lawyer Donald Levine told The Telegraph she had been offered $US250,000 to tell her story exclusively to Australian TV.","According to an arrest warrant, Bryant, 24, attacked a woman on June 30.",4.0
train,Part of the accord was the implementation of a special health council that would monitor health spending and progress in reforming the health system.,"The injured passenger at John Peter Smith died later in the morning; his name has not been released, Jones said.",2.0
train,"The only other person who had not been accounted for Sunday was a man from Fort Worth, Texas.","Bishop O'Brien, aged 67, had told police he thought he had hit a dog or cat.",3.25
train,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","It has sought observer status for seven years, but was again rebuffed May 19 at the annual WHO conference in Geneva.",3.333
train,Vivendi shares closed 3.8 percent up in Paris at 15.78 euros.,Dealers said the euro's downward momentum may pick up speed should it break below $1.15.,4.0
train,Brendsel and chief financial officer Vaughn Clarke resigned June 9.,"Thousands of revellers, celebrating the decision, vowed to push for more legal rights, including same-sex marriages.",2.8
train,"The technology-packed Nasdaq Composite Index <.IXIC> dropped 37.78 points, or 1.94 percent, to 1,912.36.",Moore of Alabama says he will appeal his case to the nation's highest court.,3.6
train,"One of the 14 Kurds pointed at the word ""refugee"" in an English/Turkish dictionary.",Perry has since called two special legislative sessions to try force the redistricting plan through.,3.5
train,"The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.","The same survey found the median household income rose by $51, when accounting for inflation, to $43,057.",3.8
train,"The House voted 425 to 2 to clear the bill, the first of 13 that Congress must pass each year to fund the federal government.","The broad Standard & Poor's 500 Index .SPX shed 0.17 of a point, or just 0.02 percent, to 934.",1.75
train,"The broader Standard & Poor's 500 Index <.SPX> was 0.46 points lower, or 0.05 percent, at 997.02.","The system is priced from US$1.1 million to $22.4 million, depending on configuration.",4.0
train,"""There is the real potential for a secondary collapse,"" Gov. James McGreevey said.","In his letter, McBride charges the Free Software Foundation and Red Hat with trying to undermine U.S. copyright laws.",4.25
train,"Barbini said the union may reach a compromise with the United States but it wants a system for labeling such foods, something the industry successfully fought here.","""I marched in the streets against Richard Nixon and the Vietnam War,"" she said.",2.25
train,"A jury convicted rapper C-Murder, also known as Corey Miller, of second-degree murder Tuesday night in the shooting death of a 16-year-old in a Jefferson Parish nightclub.","She insisted, though, that it not be published until after her death.",5.0
train,"Consumer groups are against the changes, saying they hurt individuality in markets.","Prairie dogs, usually found in southwestern and western states, aren’t indigenous to Wisconsin.",1.75
train,"The camp hosts summer religious retreats for children and other events year-round, according to its Web site.",Five-time Tour de France winner Lance Armstrong is in Denver today for a meeting about surviving cancer.,1.4
train,"The new system costs between $1.1 million and $22 million, depending on configuration.","So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.",4.091
train,"Heather, 35, who lost a leg in a road accident, is thought to have steel plates fitted in her hips, which would make natural childbirth impossible.","In 1995, the last survey, those numbers were equal.",3.6
train,The Conference Board reported its U.S. Consumer Confidence Index slipped to 83.5 in June from 83.6 in May.,"Fighting has continued sporadically in the west, where it is complicated by the presence of battle-hardened Liberians on both sides.",3.8
train,"Amgen shares gained 93 cents, or 1.45 percent, to $65.05 in afternoon trading on Nasdaq.",His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.,2.4
train,Its shares jumped to $54.50 in pre-open trading from $50.90 at Wednesday's close.,"The Federal Trade Commission asked Congress yesterday for broader powers to attack the rapidly growing problem of spam, which new studies show accounts for half of all e-mail traffic.",3.0
train,"The broad Standard & Poor's 500 Index .SPX inched up 3 points, or 0.32 percent, to 970.","""If you pass this bill,"" Rep. John Mabry Jr., D-Waco, told colleagues, ""Big Brother will be watching you.""",3.8
train,"The Standard & Poor's 500 index advanced 6.48, or 0.7 per cent, to 990.51.",A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,3.6
train,"GALLOWAY TOWNSHIP, N.J. Annika Sorenstam drew the crowds, Michelle Wie got the publicity but Angela Stanford took her first LPGA victory.","Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.",3.8
train,Dynes came to UC San Diego in 1991 after 22 years as a physicist with AT&T Bell Labs.,"Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens, 16 and 18 years.",3.4
train,Advanced Micro Devices said Fujitsu Siemens Computers is offering a high-end workstation based on AMD's Opteron 200 Series.,"Richard Miller, 57, survived a lifesaving liver transplant but remains hospitalized.",2.625
train,"""Spin and manipulative public relations and propaganda are not the answer,"" it said.","They underwent more tests over the weekend, and are now warded at Raffles Hospital.",2.4
train,"""I'm not going to be sponsoring it because it is not our proposal but I'm not going to be negative about it"".","I am not giving any consideration to resignation,"" Shumaker said in a statement.",3.4
train,Shares of Allergan fell 14 cents to close at $78.12 on the New York Stock Exchange (news - web sites).,"The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said.",3.75
train,"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made"".",Hope is survived by his wife; sons Anthony and Kelly; daughters Linda and Nora Somers; and four grandchildren.,3.75
train,"In the latest violence, insurgents threw a bomb at a U.S. convoy in northern Baghdad, killing one soldier.",Ridge said that no actual explosives or other harmful substances will be used.,3.6
train,"The report also claims that there will be up to 9.3 million visitors to hot spots this year, up again from the meagre 2.5 million in 2002.","Dynes has been at UC San Diego since 1991 after spending 22 years with AT&T Bell Labs, where he worked on superconductors and other materials.",3.6
train,"The Federal Trade Commission (FTC) asked Congress today for additional authority to fight unwanted Internet spam, which now accounts for up to half of all e-mail traffic.",Captain Robert Ramsey of US 1St Armored Division said a truck had exploded outside the building at around 11 am.,4.0
train,"The router will be available in the first quarter of 2004 and will cost around $200, the company said.","Thirty-four of the men have been arrested and the others are being sought, US Attorney Daniel Bogden said yesterday.",1.0
train,As part of a restructuring Peregrine sold its Remedy help desk software unit last year to BMC Software Inc.,Stardust was designed to gather thousands of dust particles streaming from Wild 2.,4.2
train,"On Sunday, a U.S. soldier was killed and another injured in southern Iraq when a munitions dump exploded.","The plant would employ 1,000 people when fully built out, the company said.",5.0
train,"Shares of Halliburton fell 71 cents, or 3 percent, to close at $21.59 yesterday on the New York Stock Exchange.","Investigators uncovered a 4-inch bone fragment Thursday night, but authorities said it was from an animal.",4.0
train,"The upcoming second-quarter earnings season will be particularly important in offering investors guidance, they say.","""I have the opportunity to congratulate the governor-elect of the great state of California, and I'm looking forward to it.""",4.0
train,Bond bulls would like the Fed to recognize that risks are biased toward economic weakness.,"Van-Vliet, who was also injured, called in the accident on the school bus radio.",3.0
train,"Google's investors include prominent VC firms Kleiner Perkins Caufield & Byers and Sequoia Capital, the paper noted.","Also as part of the deal, PalmSource stock will begin trading on the NASDAQ stock market Wednesday under the ticker symbol: PSRC.",1.333
train,"The blue-chip Dow Jones industrial average .DJI climbed 164 points, or 1.91 percent, to 8,765.38, brushing its highest levels since mid-January.",Agents confiscated several classified documents in his possession and interrogated him.,3.5
train,"By state law, 911 calls are not public information and were not released.","""I am advised that certain allegations of criminal conduct have been interposed against my counsel, J. Michael Boxley,'' the Silver statement said. """,3.6
train,Mayor Joe T. Parker said late Thursday that the three workers were two men and a woman who were inside the building when the first blast occurred.,"The Communications Workers Union, which represents more than 2,300 Comcast employees, called the executive pay package excessive when a typical union employee makes about $27,000 annually.",2.5
train,"""We hope all parties will continue to make efforts and continue the process of dialogue,"" the Chinese Foreign Ministry said in a statement.",Vivendi shares were 0.3 percent up at 15.62 euros in Paris at 0841 GMT.,2.25
train,"During 2001 and 2002, Morgenthau said, wire transfers from just four of Beacon Hill's 40 accounts totaled more than $3.2 billion.","Wal-Mart has told its top 100 suppliers that they'll need to have radio-frequency ID systems in place for tracking pallets of goods through the supply chain by Jan. 25, 2005.",3.2
train,"Mr Alibek said: ""Our outcomes are very encouraging.",U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.,3.0
train,"Griffith, a Mount Airy native, now lives on the North Carolina coast in Manteo.","Mr Levine said she had been offered $400,000 to tell her story to an Australian TV network.",3.6
train,"Douglas Robinson, a senior vice president of finance, will take over as chief financial officer on an interim basis.","The Mets took Lastings Milledge, an outfielder from Florida, with the 12th pick.",3.0
train,Caldera acquired the Unix server software of the original SCO and changed its name to the SCO Group.,"The broader Standard & Poor's 500 Index .SPX rose 6.48 points, or 0.66 percent, to 990.51.",4.6
train,"The army said the raid, which comes just days after Israeli troops shot and killed Abdullah Kawasme, the Hamas leader in the city, targeted militants in Hamas.","But for the elderly and those with weakened immune systems, it can be fatal.",4.0
train,Beleaguered telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,Police believe Wilson then shot Jennie Mae Robinson once in the head before turning the gun on herself.,5.0
train,Some 95 million Americans -- half of all households -- invest in mutual funds.,"""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said.",3.0
train,"According to the Census Bureau, the Hispanic population increased by 9.8 percent from the April 2000 census figures.",The rally overshadowed ceremonies marking the sixth anniversary of Hong Kong's return to China on 1 July 1997.,3.6
train,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.",The fire spread to several surrounding structures on the property and destroyed them as deputies held back firefighters.,3.75
train,The weather service reported maximum sustained winds of nearly 105 miles an hour with stronger gusts.,Both the House and Senate bills would end the ban on research and development of low-yield nuclear weapons.,1.4
train,"Families stuck on the highway remained in their cars, and used their cell phones to call home.","One man had brandished an English-Turkish dictionary and pointed to the word ""refugee"".",4.75
train,Colgate shares closed Monday at $56.30 on the New York Stock Exchange.,"She, in turn, occasionally told John that she was still sleeping with an ex-boyfriend, ""Baywatch"" hunk Michael Bergin.",4.5
train,"When the bomb exploded at the Casa de España, customers were eating dinner and playing bingo.","Hickenlooper clobbered city Auditor Don Mares, 46, in the Tuesday runoff.",3.6
train,Strayhorn said it was the first time in Texas history a comptroller had not certified the appropriations act.,"The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.",4.0
train,Squyres is principal investigator for the Athena payload - a collection of science instruments carted by each rover.,"The researchers gave copies of ""Dr. Atkins' New Diet Revolution"" to the carb-cutters.",1.0
train,"Fletcher said he expects to have the support of lawmakers from agricultural states, many of whom are on the committee.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,3.4
