ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label
325,Trimming branches or hedges,He uses a paint roller to soak the wall paper for easy removal. He then demonstrates how steam can be used too to loosen the wall paper.,almost,The woman peeks out from behind a wall. The woman looks at a laptop screen with a man. the man,"['then combs it and blow dries his hair after styling it with gel.', 'shows the razor that he has for shaving his hair.', 'hair is now dry, he is on his way to the barber.', 'moves the bucket to the other side of the sink and continues washing his hair.']",activitynet~v_8dXbbJWFEJo,train,indomain,0
864,Getting a haircut,"A rustic static bike of wood is in a room. Then, a man pedal the bike while showing the handle.",a person,A man is seen standing in front of a mirror holding a razor. He then begins shaving his face while still looking in the mirror. he,"['swim in the ocean while other moves around the sea.', 'move along the ocean floor.', 'scale the reef.', 'are seen swimming through the reef.']",activitynet~v_03BMaaMEcNo,train,indomain,2
302,Painting,A woman puts a harness on.,an introduction,A man is completing a rubiks cube. A timer is sitting on the table next to him. he,"[""continues to give feedback on how the chair works after he's done."", 'then rubs the cloth on the wall, the chair and the table.', 'uses it over various surfaces to clean and polish the surfaces of wood, vinyl and leather.', 'moves the cloth around and rubs the floor with it and pauses to see the finished product.']",activitynet~v_FaKQvJBhMPg,train,indomain,0
1409,Rope skipping,He then combs it and blow dries his hair after styling it with gel. He uses an electric clipper to groom the sideburns and the temples.,she,A man riding a horse and swinging a rope around is seen chasing after a calf and eventually grabbing the animal with his rope. he,"['end the game by shaking hands and walk out of the court.', 'all gather together and enjoy a celebratory christmas dinner.', 'drop their banners to the ground.', 'put the black and white trophies on the wall.']",activitynet~v_-ySxFjhhK4Y,train,indomain,1
1331,Playing water polo,A close up of a guitar is seen with a hand plucking the strings.,a man sitting on the deck of the boat,A dog is seen laying comfortably in a large bowl with a man beside him. the man,"['wrings out the towel in the sink.', 'puts the towel on a cabinet and ties it.', 'then lifts up the towel.', 'throws the item she just washed at the sink.']",activitynet~v_2Mj26IwwEiY,train,indomain,0
1257,Putting on makeup,A boy makes repairs to a disassembled bicycle with the use of a solder in a backyard near the back steps of a house.,the woman,He then combs it and blow dries his hair after styling it with gel. He uses an electric clipper to groom the sideburns and the temples. he,"['then see divers bungee jumping off the side.', 'see the jet ski in the water, as a person flies it.', 'see sprays of nature.', 'then see several people as they relax on a boat.']",activitynet~v_0cYB-WFrVxk,train,indomain,1
173,Spinning,We see an opening title screen. We then see a girl run and fall on a slip and slide.,they,. a little girl in a room standing in front of some chairs,"['see the man throw a shotput and warmth course through.', 'see a man running to measure the distance.', 'see the shotput and ingredients on the counter.', 'see the people preparing and walking on the street.']",activitynet~v_EwzkySgI6CQ,train,indomain,3
594,Smoking hookah,A gymnast is standing at a pose waiting to begin her performance.,he,He scrubs in the shampoo and then washes it off. He then combs it and blow dries his hair after styling it with gel. he,"['points to a white screen with a word on it.', 'sets it on the table and walks away.', 'lowers the mop where the mop is sticking out of the door.', 'starts mopping the tile on the floor.']",activitynet~v_FSU0YVLCoSc,train,indomain,0
865,Playing badminton,"A white male is dressed outside in a scotland uniform standing outside in the middle of a cemetery. As he is standing, he plays the bag pipes with the american flag hanging down from them.",the man,The second woman is shown stretching her leg in the air. The first woman is shown performing gymnastics once more. the second woman,"['compete in a court dance before another set of people join them.', ""are awarded medals when the player in black scores four more points and then trick him again and he wins and they're congratulated by guy in sars."", 'continue on a great rally without missing a shot.', ""are acticing each other and throwing the ball back and forth trying to keep the other's focus.""]",activitynet~v_2Mj26IwwEiY,train,indomain,3
52,Playing congas,A pair of handlebars are detached from the bike and is laying down flat on a table.,he,Mj's mommy is playing around with her hair smoothing it out. She goes to the bathroom with clips in her hair and gets out treatments and shampoos. she,"['named stannigger teaches how to ski as he demonstrates on the screen how to properly position yourself to ski.', 'is shown outdoors sitting on the snow fft making a jump over he pole.', 'is shown working out in a room as part of his skiing training by performing several exercises.', 'presents the videos with the topics he will cover as well as the equipment that will be needed to ski.']",activitynet~v_EwMAJPldfKs,train,indomain,2
681,Brushing teeth,Peolpe are running wearing stilts in an avenue.,the player in red,A small group of people are seen sitting around a casino table speaking to one another and playing a game of poker. many people,"['uses several ingredients into a powder.', 'opens the bottle and pours it into a bucket on the ground.', 'is talking about rolling a bottle of detergent and she sprays it on the clothing.', 'sprays it on a pumpkin of ink.']",activitynet~v_2Mj26IwwEiY,train,indomain,1
37,Swimming,"As he frantically brushes, a woman comes to assist him as he points to different things on the counter.",then he,A man in the kitchen appears and he's putting seasonings into a pan and he starts swishing the pan around. an introduction,"['walks with by one horse and ride around together as a farm boy throws a rock to a dog.', 'gets to walking and celebrating at the end.', 'rides in on horses and blows from leaflets.', 'rides on the horses along a trail.']",activitynet~v_5Fq-ln3yC38,train,indomain,0
851,Preparing pasta,A rustic static bike of wood is in a room.,one man,A tall garage building is shown in the dark and then several teen age boys appear skateboarding in the inside of it. as they,"[""demonstrates how to drill a basketball player's balls with a blue plastic hammer."", 'stands in the foreground and places baton on his shoulder.', 'in a blue blue shirt is slumped over in a chair as he attempts to hit a ball with a wood mallet.', 'shows different leg stances to a student for playing badminton.']",activitynet~v_F4eF_nO2UFs,train,indomain,3
504,Wrapping presents,The woman is back on the roof with a shovel and is shoveling off all of the old shingles then she dumps them in a large dumpster.,the model,A very muscular shirtless man is about to arm wrestle with a man in an orange hoodie. Another man in a yellow hoodie comes over. they,"['fight with each other in the background.', 'arm wrestle making it very messy.', 'shoulders up to arm wrestle and the players fist bump.', 'begin the match, the man in the orange hoodie looks to be struggling.']",activitynet~v_9tAyfaBGwyg,train,indomain,1
1042,Cheerleading,"A boy is bent over in his bedroom. He is trying to put on a shoe. He sits down, playing with a broken lace.",the men,"He shows a new product called nova, which is an electrode for cleaning dirty aluminum. He shows two aluminum plates that are joined together for demonstration purposes. he","['then picks up some lipstick on the table to apply it to his face.', 'uses scissors to trim the hair and give it a finished look.', 'decorates with a very light style lip liner to complete the look.', 'then polishes his front teeth with a razor.']",activitynet~v_2DtotlMv9Gg,train,indomain,3
264,Beer pong,The batter is fighing with the man and other people trye to calm him down.,then,We back up and see the tattoo artist. The lady looks in her phone and smiles at the camera. we,"['pushes the wall paper out of the way, revealing an antique.', ""beats back the an the wall paper that so far hasn't gotten damaged."", 'removes sections and replaces them with original work outs before changing to the finished wall paper.', 're-wets the surface and uses a flat tool to remove any stubborn wall paper.']",activitynet~v_H5F01WIyJWI,train,indomain,0
318,Paintball,A woman in a yellow shirt is holding a bottle in her hand.,he,He uses a paint roller to soak the wall paper for easy removal. He then demonstrates how steam can be used too to loosen the wall paper. then he,"['places six screws on the front of the hair then runs the electric clipper through his hair and snips it for results.', 'also trims the back and sides of his head with the clippers.', 'gently sprays product over the hair, shaving it so it seems like a long flowing bob.', 'then sections his hair off and applies the gel.']",activitynet~v_4CRacVTadPQ,train,indomain,1
850,Painting,A man is putting on a pair of shoes. He grabs his skies and boards a lift.,he,We see 5 men walking down the street sides by side. A man looks at the men. A lady looks at the men. two men,"['is added to a measuring cup of ice.', 'are in a sink with a white towel on the top and three bag of lemons are placed on top.', 'are placed on a large white oilcloth table and put on top of an oilcloth that has a hood on it.', 'are on at table.']",activitynet~v_FaKQvJBhMPg,train,indomain,0
241,Clipping cat claws,The man in the center is demonstrating a hairstyle on the person wearing the blue shirt.,the couple,"Five different people tosses a freebie in the air and a dog jumps and catch the freebie in his mouth, the dog then moves on to the next person and do the same thing as many people watch from a distances. There are two dogs now that are jumping the air catching freebies while doing tricks. now there","['competes making triple bartatin cookies on a large mat.', 'performs gymnastics on uneven bars while a number of spectators watch.', 'is seen jumping into a pot of various ingredients followed by others performing the same and sitting down.', 'is now looking at various trophies that she won and is tiling them.']",activitynet~v_DMw9Cb_Xy2A,train,indomain,0
625,Polishing forniture,There is a man sitting on the ground shining a shoe. He applies ointment to the shoe and resumes buffing the shoe.,he,The mascot runs and catches a ball in the field. the mascot high fives a line of people and chest bumps,"['tapes tape on the toy and wraps it in a red garbage bag.', 'lays out cellophane and places the wrapped toy on it.', 'grabs a curling stick and places several handkerchiefs in the break room.', 'place a gift wrapped in the center of the toy and covers it with tape.']",activitynet~v_CIPSw35iF3k,train,indomain,0
1342,Ballet,A woman plays a game of beer pong with a short man dressed as a leprechaun.,he,He uses scissors to trim the hair and give it a finished look. The model uses some hair gel to style his hair after the haircut. the host of the show,"['falling shits his pants from the bottom out.', 'stands water to rinse his mouth.', 'stands on front the sink and puts toothpaste on the brush, and then brush the teeth.', 'rinses his cup in the pot, then put glasses on it.']",activitynet~v_GQzwzOM9db8,train,indomain,1
970,Polishing forniture,A man stands next to a young girl dressed in a gymnastic outfit in a gym and talks to the camera.,scissors and different types of tape,People stand and play beer pong while others watch. A man tries to blow a ball out of a cup. a man,"['are floating on platforms in float rings floating in the lake, one of them has a microphone.', 'take turns climbing up the ladder in the float.', 'are also on different colored floating donuts, playing, falling in the water and having a good time.', 'in a series of boats erupt in a deep water, then people ride the line and are drags back by a speedboat.']",activitynet~v_5c1zqvr3yKM,train,indomain,2
1219,Hanging wallpaper,A blindfolded man is standing outside with vehicles parked behind him and he's playing a small set of bongos as well as a large set of bongos right next to it.,he,A camera pans around a set of stairs and leads into people working out in a class. Several shots are shown of people working out together while a man speaks to the camera. the man,"['ride past one another and one walks into frame rubbing down a fence.', 'play polo back and fourth while running onto the field and racing to each other.', 'then throw balls around to one another while swinging sticks around while one wins while cheering.', 'then throw the ball down and all ride around on horses attempting to hit the ball and one scores a goal.']",activitynet~v_AyWXuUCDSjw,train,indomain,2
663,Archery,A large truck pulls up to the house and a man begins to unload shingles onto the roof.,afterwards,This is a tutorial on how to start a campfire. It shows the campfire burning on the ground. it,"['throw a stick through the air which knocks down a goal.', 'are running into each other in slow motion.', ""kick the ball around trying to keep it out of the player's hand."", 'score a point into the net.']",activitynet~v_4CRacVTadPQ,train,indomain,0
861,Welding,A little boy is in an outdoor parking lot.,men,A group of cheerleaders come from the side stage and begin smiling and waving to the crowd before settling into their formation. the routine,"['are running in the field fighting.', 'are all sitting on the floor.', 'are playing cornstarch ball against each other on the field.', 'are cools the batter.']",activitynet~v_4DCxc6mO864,train,indomain,1
1330,Playing polo,They then show clips from an outdoor volleyball game. The team mates hit the ball back and forth over the net.,a,A person is assembling a vacuum on the carpet. They plug the vacuum in. They turn the vacuum on and begin vacuuming the floor. they,"['frantically brushes, a woman comes to assist him as he points to different things on the counter.', 'is, the greenish substance is shown, followed by several different foods.', 'is chewing they start blood pumping and he spits it into the sink.', 'does he sees a shuffleboard.']",activitynet~v_-JqLjPz-07E,train,indomain,1
197,Arm wrestling,Two people are seen sitting before a wave pool and one leads another out onto the water on a board.,they,A tropical beach is seen. Sea turtles graze and swim in the ocean. Various fish are seen swimming through the reef. a manta ray,"['see the lady put a white shine on the cake.', 'see the people eating cake.', 'see the closing screen.', 'see the ending closing screen.']",activitynet~v_I7Sole68Gag,train,indomain,2
824,Brushing teeth,A man rakes leaves from the yard into a pile and dumps them in a metal trash bin.,she,A group of tall trees is surrounded by water. We see the vast ocean water around us. we,"['surface as two boys walk by with a child at a table.', 'stand on either side of the machine.', 'bowl soccer, while other people watch along with another boy watching the game from behind.', 'of girls start to win and one eventually wins.']",activitynet~v_B4LYBLihttQ,train,indomain,1
1273,Tumbling,"A boy enters the scene and pulls on a pair of gloves while wearing a sports protective mask, turns on a blue machine on the back steps and picks up a solder.",a man,A video of clipping a cats toenails is shown. Each paw is grabbed and the nail is pushed out and trimmed. the cat,"['goes up the stairs and takes off onto himself.', 'then sits down on the windsurf board.', 'leaves the top down and rides it down a hill.', 'is then shown skiing down various hills and mountains.']",activitynet~v_3S5RoKVsAys,train,indomain,0
291,Tango,"With the use of a paintbrush, he covers the table with the liquid. He removes varnish from the top of the table.",various fish,"Another man in a yellow hoodie comes over. They begin the match, the man in the orange hoodie looks to be struggling. the shirtless man","['see a man throw shotput with four shots.', 'see the man throw shotput and a score call.', 'see a man on a stadium floor.', 'see people in the crowd cheering.']",activitynet~v_-YjGbsbDoxs,train,indomain,2
100,Beer pong,A person is putting objects in front of a tire to move the car. A person drives the car over the object to move it.,the people,A man is seen pulling shades off of a window and removing the bars around the sides. another man,"['is being stirred together.', 'is placed on a plate and they begin to build up a dessert.', 'is prepared in a heat and put in oil.', 'else they are keeping is sliced into bite size pieces.']",activitynet~v_-Xl95IW5H_s,train,indomain,1
1337,Calf roping,A person is seen standing on a tennis court bouncing a ball.,a large dog,Woman is standing in a field playing bagpipes. Woman is standing in the middle of a parking lot playing bag pipes. a blue house,"['are a lot of video and youtube videos and videos about the wacko dudes.', ""'s trail of dirt leading into the hill and the rope is stretched as the camel continuously walks going down the hill."", 'is an audience in the stands watching the man do this and there is another man on a different horse at the side waiting.', 'are a few cows in the barn who are laying about and enjoying a chance to chase the little boy around.']",activitynet~v_3G3Zear4vog,train,indomain,1
216,Playing drums,The woman then stands up and walks to a part of the roof where she lifts up a black shingle on the roof.,the person,The roof is done and a view of the entire house is shown to show off the finished roof. the woman,"['then begins throwing the large paper to the ceiling and is then shown drying the paper off with a paper towel.', 'twirls her legs and the effect they have on her dance is slightly blurry at times, and she appears to be falling.', 'then picks it up and begins to move more of her arms along with her legs and dances in a small area in the room while facing the camera.', 'is then shown walking off to the side with a small tray of food.']",activitynet~v_8ohisLftwZ4,train,indomain,1
653,Ballet,A tray of potatoes is loaded into the oven and removed. A large tray of cake is flipped over and placed on counter.,after,A man is seen standing in a large field and leads into him moving his arms and legs around the area. the man,"['paws are re-clipped making a clean appearance.', 'scrapes the nail clean before clipping it.', ""loss hurt but she's gotten over it and is now kicking back showing off her toe nails."", 'is oddly calm the whole time.']",activitynet~v_FwV1XbjLJHY,train,indomain,2
1018,Hula hoop,A camera pans around a set of stairs and leads into people working out in a class. Several shots are shown of people working out together while a man speaks to the camera.,a man,Two girls are standing up doing karate. People are sitting down watching them. a woman in a black robe,"['is clipped individually, then the cat ends by piercing the skin.', 'is clipped to one side.', 'is grabbed and the nail is pushed out and trimmed.', 'is trimmed to the quick.']",activitynet~v_-qGmUrF_7v4,train,indomain,3
1009,Surfing,"The man in gray sweater lean on the table and look at the ball, he then hit the white ball and hit the yellow ball, while the man in plaid shirt sat on the chair.",the tire,He re-wets the surface and uses a flat tool to remove any stubborn wall paper. He finally uses a sponge and soap water to clean the wall to remove any residual wall paper. he,"[', the man starts to play more guitar as he figures out some of the moves involved with the instrument and continuing to swing a hammer at a target while his opponent holds the guitar which is slow and full of sticks while showing heads like the one on the guitar and brandishing it.', "", they begin to dismounts the ropes and if there's ever a match between men, they take off their helmet at every turn and they all start throwing at each other several times."", ', the man is once again show talking very passionately with hand movements and a lot of facial expressions and around him are overlays on the screen advertising his youtube channel along with his website for tai chi combat.', 'he gets behind another man and within a few days, the man beats him by a couple of full bulls and they both go to the pit.']",activitynet~v_BJuL-yK-I8g,train,indomain,1
1554,Putting in contact lenses,Screens begin to appear with white words on them describing events that are about to take place. A still image is then shown before a guy attempts to do several pole vault jumps.,the man,He takes another one and shoots it. He grabs another arrow from his waist and shoots again. He shoots an arrow once more. he,"['is used to tie a toy toy up.', 'is placed around the ends of the package.', 'is thrown onto the toy.', 'is attached to the toy.']",activitynet~v_CXSoih6nFME,train,indomain,0
658,Welding,He uses scissors to trim the hair and give it a finished look. The model uses some hair gel to style his hair after the haircut.,the person,"A horse is behind a yellow gate as a man sits on top holding a rope. The gate is opened, and a black calf comes running out into the field of dirt. almost","['puts all the aluminum pieces on a plate, takes the aluminum out of the door and removes it in the end.', 'uses a welding stick to measure his strategy then starts welding again.', 'shows the back side of the plates and how it is welded together.', 'then stops for a few seconds and uses a machine to clean off again before dumping the plate to the filter.']",activitynet~v_16T82DHJClA,train,indomain,2
696,Grooming dog,We back up and see the tattoo artist. The lady looks in her phone and smiles at the camera.,the man,A man and a woman stand on a street talking on front a window. a person,"['then begins moving in strange ways and continuing telling a story in ballerina form.', 'comes back to the podium, bounces and is congratulated, and shakes hands with other performers.', 'shows viewers her album cover, the groove page and the diagram of how she glues parts of the band together.', 'then takes her turn and when she finishes, everyone else begins giving awards.']",activitynet~v_AyYpsQ4xOo8,train,indomain,2
1334,Wrapping presents,A man watch through a window two bears copulate while brushing a shoe.,then the man,She then turns the water on and begins to rinse her hands and flex her fingers to make sure all of the soap is off. after that,"['looks back at the camera and is talking again an pointing to things and starting to tattoo herself on the side.', 'paints white pieces onto the chalk with marker.', 'turns and walks back to her desk.', 'begins jumping on the board.']",activitynet~v_-YjGbsbDoxs,train,indomain,0
51,Snatch,"As he reaches the dirt section, he he does three jumps. On his final jump, he extends his legs to try and jump as far as possible.",another kite,A man wearing ski goggles adjusts the camera. Several people are seen skiing down a steep slope. they,"['grabs a tool and grabs a rope that runs from the roof to the side of it.', 'scrambles down the adjacent roof, putting product into the filter and finally using a clamp to hold on to the piece of metal and to connect it to the pment along with the clamp and clamp.', 'gets down and begins standing on the shingles while holding a power tool and working.', 'starts removing some parts of wood from the roof and he piles all of the tiles up.']",activitynet~v_9riZioI46sM,train,indomain,2
816,Welding,"Eventually, the woman puts toothpaste on the brush and the boy cleans his teeth. Once he is done, he is given a bar of soap and has to wash hands.",he,A young child wearing a green shirt is playing some conga percussion instruments. an older boy wearing a burgundy shirt,"['points to his face and leads into him piercing his lip.', 'begins playing the drums while the other sits near him.', 'then begins shaving his leg.', 'bends down and begins picking up the other man.']",activitynet~v_-vqefJDOxkw,train,indomain,3
781,Shot put,We see blinds down on a window. A person is laying in a tattoo parlor being tattooed.,a man,A ad for premier packaging appears. a woman,"['takes the cube and couches it for 10 seconds.', 'finishes the rubiks cube and sets it aside.', 'starts hurting himself trying to solve the rubiks cube.', 'sets the completed rubiks cube down on the table.']",activitynet~v_5x1diXJ8gME,train,indomain,3
863,Hand car wash,"A client tap with the finger inside a square. Then, the person stacks all the cards and puts the tokens inside the squares.",the mixed sauce from the clear bowl,A coach shows different leg stances to a student for playing badminton. The coach returns serves from the student using the racket during a practice drill. the students,"['continues to yoga on the bicycle while a lady walks behind and watches.', 'man then shows how to lift weight.', 'then demonstrates several moves that pass through the 360 degree elliptical combat.', ""is then standing alone outdoors where he's still wearing the same white outfit and is talking very passionately using hand motions and lots of facial expressions.""]",activitynet~v_-2dxp-mv2zo,train,indomain,0
1529,Clipping cat claws,A person is assembling a vacuum on the carpet.,they,"Two bodybuilder women are seated at a table. They are arm wrestling, vieing to win. when there","['walks to the far end of the field and throws a tie.', 'does flips on the mat while celebrating and ends with her jump shown again and her sitting in front of her score.', 'then runs down the track while holding the beam in her hand and jump with joy.', 'jumps around the field and is laughing hysterically when the men walk in and take her back from her.']",activitynet~v_1-nEQf-TJPE,train,indomain,2
643,Playing kickball,"The young man solves again the puzzle is less time, and the man takes note. After the young man solves again two times the puzzle in less time.",several people,Two men are arm wrestling on a table. The door opens and another man comes in and arm wrestles. They start fighting in the room. they,"[', a horseman on the back tie the calf.', ', a man grabs the calf and tie once.', ', the man get in the horse.', ', he jumps on the horse and tie the calf, and then get off the horse.']",activitynet~v_5nvximBXhFI,train,indomain,1
4,Playing drums,Paint is shown being mixed on a styrofoam plate.,two men,A little boy is in an outdoor parking lot. he,"['is now adding ice to the car window.', ""begins wiping snow off of the car's windshield wipers while talking to the woman in the fur hooded coat."", 'appears in a red coat, then on her back she takes form as she talks, then roller blades down while a young shirtless toddler bats at her, then another woman takes shape.', 'appears and snow bottoms her car windshield with a pair of high chalk colored ice picks.']",activitynet~v_FDTkn9SFPfs,train,indomain,1
508,Making a cake,A man and boy are outside on a driveway.,they,"A group of people play paintball on a grassy field with inflatable obstacles. The words ""stupid hopper"" appear. People once again play paintball on the field. The words ""1/3 lauf"" appear. people","[', the girl offers him a kiss while looking at the camera, says hi and opens her mouth.', 'he touches the helmet, they switch again and then it is red and he drives off.', ', the camera shows a standing cake with each of them grabbing a piece.', ', the woman puts toothpaste on the brush and the boy cleans his teeth.']",activitynet~v_9FAPy8NVDgY,train,indomain,1
1328,Baking cookies,A group of ladies passes. A lady falls and slides across the ground. Two ladies high five each other.,next an empty metallic pan,A group of boys are playing a game of foosball with girls. The two groups stand on either side of the machine. they,"[""continues to comb her hair to find out what they're like inside, she smooths and shows more hair in curls."", 'then turns towards the mirror and smiles, she is at a salon.', 'begins to talk about what she is doing with her hair while she waits to take out the curlers, when she takes them out her hair is perfectly curled.', 'finishes and places the loose curlers all over the top of her head, she aligned her finger and nails and finally finishes.']",activitynet~v_Fp_uU-qMDSc,train,indomain,0
1540,Making a cake,A woman is walking down the street with two dogs. The larger dog is holding a leash in his mouth.,she,"He gets side tracked on his phone and then gets back to business, they start cutting the wrapping paper. they","['falls when another attempts to ride the board on the water.', 'continues to play with the girl and herself.', 'continues pushing and eventually throws off a large wave and they all cheer.', 'goes over the side and another shows up on the side with the same person holding a dog close to their chest.']",activitynet~v_9WmsYbZl1pw,train,indomain,0
439,Hanging wallpaper,He fills his gun with orange balls. A person walks up to the bag near the man. The man reloads his gun with blue balls.,she,A person pours different colors of paint on a surface. then,"['gets thrown onto the grill and is stirred around by a black spatula.', 'block is put on it to cook, added one piece at a time and this is put on the grill.', 'is then stacked up on a plate that is laid out on a napkin and then the cook grabs the tongs and grabs the fries and flips it on one end before adding some eggs and other to the grill.', 'scraps are now prepared and began on a long tray on a long wooden table.']",activitynet~v_8hkVzhEKqpY,train,indomain,0
1432,Preparing salad,Another man holding a baby holds up the kite's spool. A third man works on a similar kite while the second man holds a spool.,the athlete,A man jumps off of the brown horse and he lassos the bull to the ground in the beginning. then he,"['flies overhead and people talk about him.', 'goes off but falls back down.', 'is shown flying beside his and leads into a show of the ocean.', 'is shown flying around and a child chases him around.']",activitynet~v_1OJa2iiFxfk,train,indomain,2
576,Polishing forniture,A person is assembling a vacuum on the carpet. They plug the vacuum in.,a lo of people wearing black unifroms,The lady puts a dome in a chocolate dome and puts a crispies circle on it. The lady puts holes in a chocolate dome. The lady sprays the domes. the lady,"['are shown as well as the same man speaking to the camera.', 'are shown as well as marching members playing drums and ending with the man finally stopping on the camera.', 'and eventually pouring water into glasses are shown and leads into a person lighting candles in a large fireplace.', 'are shown followed by music matadors walking and talking and breaking up the music on their devices.']",activitynet~v_2NyOIsFJ3Tw,train,indomain,2
94,Paintball,A man in a chef's coat is standing in a kitchen talking to the camera. A pancake is shown with syrup being poured on it.,the camera angles,Two men play squash in a room. A player goes to find the ball and throw it to his partner. then,"['is finished and get in their bikes and drive away.', 'is now covered with plywood with holes installed and added plaster to cover the gaps.', 'is now completely covered in shingles and its lining with shingles, the roof getting crushed and then would be done and covered again.', 'is done and a view of the entire house is shown to show off the finished roof.']",activitynet~v_CikGafc6H_8,train,indomain,2
1388,Mooping floor,"A purple onion, celery and parsley then get chopped up individually and each individually gets thrown into the bowl where it begins to get mixed by a whisk and then seasoned with salt and pepper and mixed some more.",three ladies,People are playing lacrosse on a field. They score a point into the net. two men,"['is pulling the leash up a few times.', 'is attached to the leash, and is essentially being led by the larger dog on the walk.', 'is leading the way, then the second dog.', 'is looking on as the woman talks to the camera.']",activitynet~v_EE1UoJSNyms,train,indomain,3
902,Paintball,A person is slicing a potato. They stack up the potato slices and start chopping them into tiny pieces.,a pancake,The men play against one another while taking breaks to get a drink and speak with team mates. the people,"['shows how to take precautionary measures with respect to electrical wiring and switches and circuits.', 'then uses a grip grip vacuum to remove all the plastic off the fronts of windows.', 'adds plastic sheets to the corner of the window in the event of loss of view.', 'then vacuums up large decorative areas.']",activitynet~v_CXSoih6nFME,train,indomain,1
