id,question_stem,choices,answerKey
7-858,a compass uses iron to locate the northern,"{'text': ['Being blurred', 'Being Seen', 'Blindness', 'Glare'], 'label': ['A', 'B', 'C', 'D']}",D
8-413,Pollution is caused by,"{'text': ['value', 'hue', 'weight', 'length'], 'label': ['A', 'B', 'C', 'D']}",A
9-1121,A magnet would attract a,"{'text': ['efficient farming', 'more cities', 'computers', 'global warming'], 'label': ['A', 'B', 'C', 'D']}",B
7-1083,The deforestation can be the cause of what occurrence?,"{'text': ['Water sitting in front of me', 'My pants against my skin', 'Plants in the sun', 'The TV turned on'], 'label': ['A', 'B', 'C', 'D']}",A
7-56,The sun was straight above us when we,"{'text': ['trapped water changes physical form repeatedly', 'water flows down a stream', 'water drank by a person', 'none of these'], 'label': ['A', 'B', 'C', 'D']}",B
7-670,"A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should","{'text': ['offspring', 'auroras', 'magnetism', 'organisms'], 'label': ['A', 'B', 'C', 'D']}",A
7-21,A footprint in a rock may have been from,"{'text': ['fluctuating volume', 'turned up volume', 'turned down volume', 'steady volume'], 'label': ['A', 'B', 'C', 'D']}",D
9-1091,An example of breaking down is,"{'text': ['Run a mile', 'Swim', 'bake a bagel', 'Rock climb'], 'label': ['A', 'B', 'C', 'D']}",A
8-23,You can let someone know you are at the door thanks to a,"{'text': ['basins', 'mountains', 'deep sea', 'valleys'], 'label': ['A', 'B', 'C', 'D']}",C
822,A switch is used to stop the flow of currents which causes Joule heating in,"{'text': ['dogs are to cats', 'cows are to cud', 'bees are to pollen', 'silos are to grains'], 'label': ['A', 'B', 'C', 'D']}",D
7-901,What makes the best wiring?,"{'text': ['latitude', 'axis', 'shoreline', 'hemisphere'], 'label': ['A', 'B', 'C', 'D']}",A
7-617,"A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a","{'text': ['ceased existence', 'moving slowly', 'feeling cold', 'finding food'], 'label': ['A', 'B', 'C', 'D']}",D
1442,"As leaves turn from green to gold, another change is","{'text': ['makes objects appear to be twice their size', 'moves heat energy thru sound waves', 'is the phenomenon involved in mirrors', 'makes a straw appear broken when in a cup of water'], 'label': ['A', 'B', 'C', 'D']}",D
7-721,What did some ancient societies use to reflect light?,"{'text': ['emit illumination', 'emit radiation', 'convert mechanical energy', 'convert chemical energy'], 'label': ['A', 'B', 'C', 'D']}",A
864,What is an example of the fact that a thing is dead once it dies after having previously lived?,"{'text': ['planet', 'star', 'meteor', 'rock'], 'label': ['A', 'B', 'C', 'D']}",D
8-286,The melting point of a duck would be,"{'text': ['bad planting methods', 'small spaces', 'the wrong climate', 'people kill them'], 'label': ['A', 'B', 'C', 'D']}",D
383,Winter snows follow Autumn's falling leaves by,"{'text': ['A habitat with plenty of water', 'A habitat with varying weather', 'A habitat that most animals choose', 'A habitat with many toys'], 'label': ['A', 'B', 'C', 'D']}",A
9-617,An example of adaption is,"{'text': ['nuts and berries', 'mouse', 'lion', 'elephant'], 'label': ['A', 'B', 'C', 'D']}",A
7-115,Frogs bury themselves in mud in order to,"{'text': ['they see more', 'they close them', 'they get dry', 'they pop out'], 'label': ['A', 'B', 'C', 'D']}",C
8-407,"Someone in a room without any lights on, but that has mirrors in it, can still have light in that room if","{'text': ['the cycling of AM and PM', 'the creation of volcanic eruptions', 'the cycling of the tides', 'the creation of gravity'], 'label': ['A', 'B', 'C', 'D']}",B
1228,Absorbing sun rays,"{'text': ['something painted black', 'surface with aluminium', 'water condensation', 'springs and coils'], 'label': ['A', 'B', 'C', 'D']}",A
7-269,local plant varieties are the best for improving the local,"{'text': ['space stations', 'alien life forms', 'craters', 'moon rocks'], 'label': ['A', 'B', 'C', 'D']}",C
9-642,Heat and moisture in the ocean is a good recipe for,"{'text': ['higher than the body temps', 'lower than a refrigerator', ""higher than the sun's"", ""lower than a freezer's""], 'label': ['A', 'B', 'C', 'D']}",A
8-392,Using wind in order to power factories is a good idea because,"{'text': ['turned food', 'growing beans', 'sticky toffee', 'pocked oranges'], 'label': ['A', 'B', 'C', 'D']}",A
9-36,Which of these would let the most heat travel through?,"{'text': ['detailed observation', 'foregone conclusions', 'radiation experiments', 'celestial music'], 'label': ['A', 'B', 'C', 'D']}",D
7-1126,Coal and oil directly removed from the ground are,"{'text': ['Orion', 'the Moon', 'Jupiter', 'Pluto'], 'label': ['A', 'B', 'C', 'D']}",C
7-286,Fungi,"{'text': ['can do their food chain jobs without ingestion', 'act as predators in the food chain', 'are always safe to ingest', 'occupy the top of the food chain'], 'label': ['A', 'B', 'C', 'D']}",A
9-412,If you desired to keep your house cooler in the summer months,"{'text': ['saguaro cactus', 'liverwort', 'green algae', 'sphagnum moss'], 'label': ['A', 'B', 'C', 'D']}",B
7-716,as Ford lost customers it's earnings,"{'text': ['a series of metal pipes along a wall', 'a small ceiling fan', 'a stove which is turned off', 'a pile of boxes'], 'label': ['A', 'B', 'C', 'D']}",C
1681,when a person pushes a bike pedal it will make the bike,"{'text': ['it would need to be repaired', 'you could tape it', 'it might fall off', 'it might get flat'], 'label': ['A', 'B', 'C', 'D']}",D
8-319,If your pet bird is having trouble flying,"{'text': ['have it reprocessed', 'burn the bottle', 'reuse the bottle', 'remake the bottle'], 'label': ['A', 'B', 'C', 'D']}",B
7-499,To have a positive impact on the environment,"{'text': ['dragonflies reproduce more often', 'pollinators visit them sparingly', 'they are planted in premium fertilizer', 'more bees make a pit stop at them'], 'label': ['A', 'B', 'C', 'D']}",D
7-1133,What does water taste like after a substance is dissolved in it?,"{'text': ['less', 'stronger', 'brighter', 'more widespread'], 'label': ['A', 'B', 'C', 'D']}",B
7-959,"When a person gets hurt physically, the person feels pain because there are","{'text': ['variety', 'sturdiness', 'the age', 'the height'], 'label': ['A', 'B', 'C', 'D']}",C
8-335,John's pet frog was sick because it wasn't staying warm enough. Maybe,"{'text': ['gravity', 'meandering air currents', 'currents', 'sunlight'], 'label': ['A', 'B', 'C', 'D']}",C
753,"A beaver is building a home in a river, and that eventually blocks up the river, giving the beaver a nice home. A side effect of the beaver's new home is","{'text': ['using a large magnifying glass', 'using a telephoto lens', 'using a telescopic lens', 'looking through a microscope'], 'label': ['A', 'B', 'C', 'D']}",C
7-673,Something that shows that the earth changes is,"{'text': ['constructs with difficulty', 'makes everything sanitary', 'shines in light', 'cools the air'], 'label': ['A', 'B', 'C', 'D']}",B
7-3,Using a metal kitchen tool on a cheese can create,"{'text': ['organisms', 'fish', 'trees', 'grasses'], 'label': ['A', 'B', 'C', 'D']}",A
9-845,The skeletal system,"{'text': ['watching sunlight bounce off a mirror', 'shining a flashlight on a gem', 'shining a flashlight at a mirror', 'looking at a freshly formed diamond'], 'label': ['A', 'B', 'C', 'D']}",B
9-608,Filling a bottle full of water and then placing it in the freezer can lead to,"{'text': ['gestating and birthing', 'making good dinner', 'creating fun activities', 'watching the babies'], 'label': ['A', 'B', 'C', 'D']}",B
1000,When does electricity flow through a conductor?,"{'text': ['a plain stick with irregular shape', 'a plastic tape with graduated markings', 'a thermometer with mercury in it', 'a metal cooking spoon'], 'label': ['A', 'B', 'C', 'D']}",B
9-745,On the list of a flower's goals would be to,"{'text': ['it runs without fuel', 'it helps people stay in shape', 'they are cheaper to maintain', 'they are more fun to drive'], 'label': ['A', 'B', 'C', 'D']}",D
7-819,If I wanted to get more energy after exerting myself too much,"{'text': ['Eating tacos', 'wearing sunblock', 'Reading a book', 'Drinking water'], 'label': ['A', 'B', 'C', 'D']}",B
325,A light is refracted when,"{'text': ['elephants see better than ants', 'wolves see better than giraffe', 'people see better than dogs', 'dogs see better than cats'], 'label': ['A', 'B', 'C', 'D']}",A
9-678,Electricity sent through a conductor,"{'text': ['hermit crab', 'human', 'blue whale', 'bluebird'], 'label': ['A', 'B', 'C', 'D']}",A
7-984,"When geese migrate in the late summer or early autumn, they","{'text': ['A bicycle race with hundreds of participants', 'the use of electric lawn mowers', 'contaminated hamburger meat from the grocery store', 'a bus that uses a petroleum product for fuel'], 'label': ['A', 'B', 'C', 'D']}",B
9-601,An animal would have its inner parts better protected if it had which of these?,"{'text': ['Sea of Tranquilitiy', 'Caspian Sea', 'Dead Sea', 'Caribbean Sea'], 'label': ['A', 'B', 'C', 'D']}",A
7-739,will a glacier travel at greater speeds than a sea going vessel?,"{'text': ['cow', 'dog', 'cat', 'skunk'], 'label': ['A', 'B', 'C', 'D']}",B
7-256,How would a location's climate be determined?,"{'text': ['weight', 'friction', 'opposites attracting', 'pressure'], 'label': ['A', 'B', 'C', 'D']}",B
9-679,Why was my son-in-law required to add rugs or carpeting to his upstairs apartment when the ground floor wasn't?,"{'text': ['a magnesium iron silicate mineral', 'chemical element with the symbol S', 'the element with the symbol Fe', 'that which contains 2 hydrogen and 1 oxygen molecules'], 'label': ['A', 'B', 'C', 'D']}",A
9-446,What happens after something dies?,"{'text': ['tides', 'size', 'weather', 'degree of angle'], 'label': ['A', 'B', 'C', 'D']}",B
1443,"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes","{'text': ['running of bulls', 'solar power', 'animals', 'kinetic'], 'label': ['A', 'B', 'C', 'D']}",D
7-905,who would see better through an underground tunnel?,"{'text': ['climbing, cracking nuts and peeling fruit skins.', 'courtship and looking for food', 'killing prey, preening and feeding young', 'staying weatherproof, flexible and free of bacteria'], 'label': ['A', 'B', 'C', 'D']}",C
9-923,When a lake is exposed to enough heat over time,"{'text': ['colored pencils', 'snow cones', 'murky river fluid', 'fresh flounder'], 'label': ['A', 'B', 'C', 'D']}",B
114,Blood absorbs oxygen in the,"{'text': ['characteristic', 'coat', 'snow', 'fur length'], 'label': ['A', 'B', 'C', 'D']}",B
1738,The bear in the wild needs to find other animals to feast.,"{'text': ['northern-directing device', 'northern light reader', 'northeastern winds', 'north central credit'], 'label': ['A', 'B', 'C', 'D']}",D
7-940,The moon,"{'text': ['show ribs', 'hunt more', 'have pups', 'take naps'], 'label': ['A', 'B', 'C', 'D']}",A
9-667,What happens when a hemisphere is tilted away from the sun?,"{'text': ['moistness', 'warmth', 'heat', 'coldness'], 'label': ['A', 'B', 'C', 'D']}",A
9-459,What slows down the transfer of heat?,"{'text': ['ducks have a space between their toes', 'ducks are buoyant and resilient', 'ducks have wide feet', 'ducks have extra foot skin'], 'label': ['A', 'B', 'C', 'D']}",C
9-929,"Michigan is the land of the great lakes, where","{'text': ['only in the pacific ocean', 'saltwater locations that are open', 'any where with liquid', 'water sources in america'], 'label': ['A', 'B', 'C', 'D']}",A
7-344,The leaves of a plant benefit from?,"{'text': ['brimming to full with sand', 'filled with local wildlife', 'dirty and muddy inside', 'typically materialized with stone'], 'label': ['A', 'B', 'C', 'D']}",A
7-969,"Small, usually red plastic squares are often placed on transporters such as bicycles in order to","{'text': ['waste', 'caviar', 'cats', 'roses'], 'label': ['A', 'B', 'C', 'D']}",C
9-968,"If plants are going to grow, their seeds need to","{'text': ['they are cold', 'road need it', 'they are lumpy', 'ice ruins them'], 'label': ['A', 'B', 'C', 'D']}",B
7-13,How do some octopus hide?,"{'text': ['butter', 'cola', 'tea', 'syrup'], 'label': ['A', 'B', 'C', 'D']}",B
9-209,"In a warm room, it is likely that the source of heat is","{'text': ['magic carpet', 'snowy road', 'light bulb', 'table fan'], 'label': ['A', 'B', 'C', 'D']}",A
8-30,"As a plant's roots get bigger, they split apart","{'text': ['light in an area becomes greater', 'there is a lot of rain', 'light in an area becomes lessened', 'there is a lot of snow'], 'label': ['A', 'B', 'C', 'D']}",A
8-267,You can make a telescope with a,"{'text': ['it falls', 'it becomes stabile', 'it climbs', 'it becomes volatile'], 'label': ['A', 'B', 'C', 'D']}",D
7-899,What happens when mercury is placed in water?,"{'text': ['a mineral', 'a soft mineral', 'a liquid mineral', 'a mineral melt'], 'label': ['A', 'B', 'C', 'D']}",A
63,something could get wedged during winter if which of these happens?,"{'text': ['Stage 7', 'being an adult', 'high school', 'puberty'], 'label': ['A', 'B', 'C', 'D']}",C
1455,"Compared to a regular swimmer, a scuba diver deals with more","{'text': ['some of the birds eat worms and the other birds have blue feathers', 'some of the birds of the same species have lived in a zoo all their lives', 'some of the birds take seeds for nourishment and the others look for dead animals for nourishment', 'some of the birds like to file down their beaks'], 'label': ['A', 'B', 'C', 'D']}",C
7-86,"If John were going to the store, how would he measure his trip?","{'text': ['they are altered with time', 'ecosystems are always the same', 'with time they only grow', 'ecosystems experience very little change'], 'label': ['A', 'B', 'C', 'D']}",C
7-892,The reason raccoons are often found in dumpsters is because they are known to consume,"{'text': ['a drink with water in it', 'a toilet with bleach in it', 'a soda with lime in it', 'a sink with hair in it'], 'label': ['A', 'B', 'C', 'D']}",A
306,"In a strong tempest, a large boulder may be","{'text': ['natural gas formations', 'oil well', 'plastic bag', 'Pacific Ocean'], 'label': ['A', 'B', 'C', 'D']}",A
1757,Humans are,"{'text': ['water', 'plantlife', 'rocks', 'air'], 'label': ['A', 'B', 'C', 'D']}",A
21,A car engine is a source of heat and therefore needs,"{'text': ['Direct', 'Distant', 'Varied', 'Single'], 'label': ['A', 'B', 'C', 'D']}",B
7-890,A thermal insulator between a stove and a pan would make the pan get hot,"{'text': ['fish swimming', 'weather related degradation', 'global warming', 'animal movement'], 'label': ['A', 'B', 'C', 'D']}",D
8-461,a cloudy day may obstruct visibility of which of these?,"{'text': ['fertilizer', 'cool temperatures', 'non-organic matter', 'H2O'], 'label': ['A', 'B', 'C', 'D']}",B
1310,An example of a simple machine requiring mechanical energy in order to function would be,"{'text': ['October to December', 'November to March', 'December to April', 'December to March'], 'label': ['A', 'B', 'C', 'D']}",C
9-938,"If an object undergoes chemical change then that object will have new chemical properties, such as","{'text': ['will be in poor shape', 'will be thriving and lively', 'will be switching to a new diet', 'will hibernate until more food comes along'], 'label': ['A', 'B', 'C', 'D']}",C
1834,"in order to better live in its habitat, camels have done one of these","{'text': ['bad brakes', 'the engine size', 'the wind', 'the steering wheel'], 'label': ['A', 'B', 'C', 'D']}",B
9-1083,Hummingbirds take what with them,"{'text': ['moons gravity', 'motion', 'it is closer', 'sun rotation'], 'label': ['A', 'B', 'C', 'D']}",D
9-592,Veins carry blood which means that they,"{'text': ['summer in the USA, winter in Australia', 'snow will be on the North Pole instead of the South Pole', 'seasonal changes take place', 'some countries are warmer than others'], 'label': ['A', 'B', 'C', 'D']}",D
30,When standing miles away from Mount Rushmore,"{'text': ['wood', 'plants', 'clothing', 'rocks'], 'label': ['A', 'B', 'C', 'D']}",D
1944,the summer solstice is on June 21st in the,"{'text': ['A mega Museum', 'A solid', 'Jello', 'Candy'], 'label': ['A', 'B', 'C', 'D']}",A
7-6,The spinal cord contains,"{'text': ['plant trees that tower above the ground', 'plant ivy around the trees', 'plant shrubs around the foundation', 'plant trees that stay smaller than dogwoods'], 'label': ['A', 'B', 'C', 'D']}",A
1167,"Because of human logging activities, some animals have to conserve their","{'text': ['freeze in deserts', 'starve in deserts', 'are abandoned there', 'drown in deserts'], 'label': ['A', 'B', 'C', 'D']}",A
9-857,an inherited characteristic found on all mammals is,"{'text': ['gills', 'scales', 'exoskeletons', 'legs'], 'label': ['A', 'B', 'C', 'D']}",A
7-1065,Sunlight produces heat that causes,"{'text': ['nails', 'teeth', 'shoes', 'fur'], 'label': ['A', 'B', 'C', 'D']}",B
8-339,Where are you likely to find a nonrenewable resource?,"{'text': ['organism decay', 'bad smells', 'dying animals', 'rotting trees'], 'label': ['A', 'B', 'C', 'D']}",A
336,A side effect of having a Husky as a pet is that when she sheds,"{'text': ['coal', 'soda bottle', 'gas', 'oil'], 'label': ['A', 'B', 'C', 'D']}",C
9-372,What does mining change?,"{'text': ['shadows disappear at noon', 'the shadows on trees are longest at noon', 'sundials can tell time easiest using shadows', 'the sun is hottest at noon'], 'label': ['A', 'B', 'C', 'D']}",C
9-467,Which is a complete circuit?,"{'text': ['Tidal', 'Pressure', 'Light', 'Dark'], 'label': ['A', 'B', 'C', 'D']}",A
9-156,To positively affect the environment,"{'text': ['water', 'electricity', 'light', 'heat'], 'label': ['A', 'B', 'C', 'D']}",B
112,Birds build nests out of things such as,"{'text': ['thermostat', 'solar energy', 'magnetic fields', 'electrical circuit.'], 'label': ['A', 'B', 'C', 'D']}",A
501,What does harming an organism cause?,"{'text': ['picnics in the park', 'moisture in rain gauges', 'dry fields and roads', 'sunny and bright days'], 'label': ['A', 'B', 'C', 'D']}",C
8-233,Puerto Rico experienced many landslides due to Hurricane Maria in,"{'text': ['oil', 'sunlight', 'fats', 'tea'], 'label': ['A', 'B', 'C', 'D']}",A
1155,Worms are excellent decomposers because,"{'text': ['wood planks', 'cardboard', 'a large stone', 'wheels'], 'label': ['A', 'B', 'C', 'D']}",D
7-958,"If an animal is living, then","{'text': ['global warming', 'buildings', 'warm streets', 'logging'], 'label': ['A', 'B', 'C', 'D']}",A
1187,Which celestial object is the shortest distance from earth?,"{'text': ['So it would look good then prospective renters took a tour', ""Because they didn't want him to scratch up the wood floors."", ""Because they didn't want the downstairs renters to be as likely to complain about noise"", ""Because they didn't want to pay for carpeting themselves.""], 'label': ['A', 'B', 'C', 'D']}",B
7-460,"What contributes more, though less than some believe, to the lung damage caused by smoking?","{'text': ['dolphin and fish', 'hyena and bear', 'whale and cat', 'eagle and raven'], 'label': ['A', 'B', 'C', 'D']}",B
9-1195,"Hardness of minerals may be measured in certain ways, such as what?","{'text': ['leave lights on', 'take shorter showers', 'use Styrofoam plates', 'take longer showers'], 'label': ['A', 'B', 'C', 'D']}",C
1261,What is an example of the sun being directly overhead at noon?,"{'text': ['Walk a runway with it', 'Use it to protect my body from bullets', 'Make a new wallet', 'Track the weather with it'], 'label': ['A', 'B', 'C', 'D']}",D
1640,"If a lizard is unable to obtain sufficient nutrients in a period of time, the resulting effect may be","{'text': ['a deer munching grass', 'a plant beginning to photosynthesize', 'a squirrel eating a bug', 'a wolf eating a deer'], 'label': ['A', 'B', 'C', 'D']}",C
7-474,polar bears are white due to an inherited,"{'text': ['magic receptors', 'electric reactions', 'making nervous', 'loud nerves'], 'label': ['A', 'B', 'C', 'D']}",C
7-149,"A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds","{'text': ['travel elsewhere', 'be eaten', 'pass a test', 'be washed'], 'label': ['A', 'B', 'C', 'D']}",D
1705,"If a snail is heated to the point of being burned, the snail will","{'text': ['lemonade', 'cars', 'grass.', 'power plant'], 'label': ['A', 'B', 'C', 'D']}",A
7-939,Some animals that detect objects by emitting sound live in,"{'text': ['the water turns evaporates rapidly', 'the water then solidifies', 'the water becomes black', 'all of these'], 'label': ['A', 'B', 'C', 'D']}",C
168,adding a direct flame to container of acid causes a,"{'text': ['to mate', 'to avoid crocodiles', 'to catch prey', 'to  build nests'], 'label': ['A', 'B', 'C', 'D']}",D
