id,question,question_concept,choices,answerKey
59050527783813c65767457d82102384,What does a chef do when working in the evening?,awake,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['happen to people', 'hurt people', 'happen anytime', 'happen often', 'happen anywhere']}",C
12148e42c0fc0ffa3e612967070abcfd,James needed a garage because he spent a lot of money on what?,eating,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['front of door', 'bedroom', 'desk', 'table', 'living room']}",B
e8a8b3a2061aa0e6d7c6b522e9612824,Where is basketball court likely to be outdoors?,policemen,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['insect repellent', 'heart attacks', 'improved health', 'shin splints', 'being tired']}",A
7800e9bc2511cb1019528ccf43d56d2d,A musician is most likely to perform a concerto for clarinet with what type of group?,clown,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['heart transplant', 'distance himself', 'perform surgery', 'study medicine', 'let blood']}",B
90c7fef95d764ed617c1a688999c6276,"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?",committing perjury,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['school', 'home office', 'people store', 'print shop', 'newspaper office']}",B
c10ebb0e1b588d6a534edb297d2f4443,What do humans do when in a race?,furniture,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['modern house', 'building', 'townhouse', ""neighbor's house"", 'downtown']}",B
6e982b31a550b2758535d871ff3326ed,"Jackson is a popular city name, but the one with a governor's office is where?",drugs,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['jail time', 'fear', 'going to prison', 'nothing', 'feeling of guilt']}",E
84e983f432647531b55b8b72c12fb78a,"The man went to clown college, he had always want to run away with the what?",pure,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['movie', 'cape kennedy', 'space center', 'military installation', 'spaceship centre']}",A
70a97a0079878b3a46080d00a4e118fb,What could prevent someone from buying chistmas presents?,house,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['see king', 'hello', 'meow', 'drink water', 'live many years']}",A
be24e81e1761b422038365cd06e82edd,What is another term for instituting civil action?,riding bike,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['owner', 'foot', 'subordinate', 'base', 'point']}",D
f5950a62f9eaae34f1e914b3cf5208cf,What does a virus primarily do to a person?,couple,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['jewelry store', 'neck', 'jewlery box', 'jewelry box', 'boutique']}",B
d57ca8ce3f5ef4794d127c2385228698,Where might a yard be tiny?,line,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['mouth', 'grocery cart', 'super market', 'fruit basket', 'fruit market']}",B
ac537f9449ac031158ec6b26818c76f0,"The obsessive man was always washing hands, he had even done it so much once that it caused a what?",shoe,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sleeping longer', 'getting cold', 'death and decay', 'change of color', 'stop breathing']}",D
bedecf8ae38e7a53da80867ce3bbf109,What happens to people playing games?,children,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['being married', 'sisters', 'marriage', 'two people', 'lawyer']}",D
2712fa7029d5a0d3325792eb0ab4bda1,"If you did well on the test, you might get an A as a what?",electricity,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['do enjoy', 'get laid', 'enjoyable', 'work less', 'enjoy living']}",A
4c1cb0e95b99f72d55c068ba0255c54d,"Whether it's popped, grilled, or canned people like to what?",night owl,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['solidifying', 'melting', 'getting cold', 'feeling cold', 'skin rash']}",B
00dc6e53c3715d0050ffb78646cd6c7c,"When I was home, I was comfortable.  But I had a crippling fear of going where?",floor,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['make', 'raise', 'entice', 'build', 'fix']}",A
8f338dbffed1b6489297aeeace0e6388,"The garage had light sensors and automatic doors, what kind of house was it?",learning,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['launch pad', 'circus', 'aircraft carrier', 'large open area', 'space station']}",A
72bfe37a3ed65d6969eed1aab0eed625,Where can you eat fruit on a red bridge?,window,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['school', 'large home', 'house', 'hat rack', 'closet']}",B
4617e66d3ad9af2263f01296153b7286,"They were competing in basketball, the goal was to what?",garage,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['building', ""friend's house"", 'classroom', 'window', 'front door']}",E
5b31de5a0506985dea62030485e9c3c3,Where are you likely to find a paper program?,people,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['surface of earth', 'rest area', 'supermarket', 'state park', 'garden']}",D
441fe2061e792c3df4f60a0dc41766e2,What is a place that could have hundreds of sporting goods store?,diving,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['bathroom', 'purse', 'drug store', 'hand lotion', 'water']}",E
f0f2d64acf8050e97ac1e550aab5515b,John's RV needs electricity so that he can cook lunch.  Where would he go to plug in?,small dog,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['oklahoma', 'university', 'college campus', 'players', 'yard']}",A
129014ff081296c3d9bbc338c5ff32db,Where could you see an advertisement while reading news?,bee,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['seaside town', 'resort', 'ocean', 'california', 'beach']}",A
0c7fbd3c7fdcb5eb691976cb9bdb19c9,How might people perceive someone they are scared of?,fox,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['ohio', 'washington state', 'alaska', 'canada', 'flowers']}",B
015a071d30083bc577582aa5bdda4a29,"If I had a jar which was likely to spoil if left out, where would I want to put it?",care,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['asia', 'southern hemisphere', 'planet', 'east', 'earth']}",B
36c03bda868a1c557256480039b1d69e,What does sex often make happen in people?,tent,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['study philosophy', 'become adult', 'ask questions', 'further education', 'study together']}",E
5f55cd90777d2cbfbd8a112d0bd9793f,"A lonely man committed suicide, why would he do that?",visiting museum,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['suitcase', 'filing cabinet', 'computer', 'desk drawer', 'cloud']}",A
f375ae73d22eb099f403128708e21962,"Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.",grooming,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['happiness', 'lack of money', 'stress', 'relief', 'exhiliration']}",B
4c0253d32a773f66cd70cc19cec89f80,For convenience some customers want things straight to the doorstep and use what?,run errands,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['wage war', 'fight enemy', 'kill', 'destroy enemy', 'attacked his country']}",E
afa9c66112625fabb6d27f357cec7030,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,note,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sophisticated', 'imprevist', 'arcane', 'heavenly', 'new']}",B
9433423c6b7d9f9d0a2aca1cdf63c139,Where can you store you tent and keep it on your person?,mandatory,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['human', 'happy', 'dangerous', 'strange', 'weird']}",E
6e7a531df01ec7e26580f08da80a78fc,WHat leads to someone's death when they are very depressed?,cello,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['factory', 'construction site', 'engine', ""insides of skyscraper's walls"", 'shops']}",E
a7f8089e91cf764119cc90d33bbe6c54,After going for run you have a sense of what?,ball,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['box', 'home', 'alley', 'lap', 'barn']}",D
06ffff3ea996786d79bf42c918f72bad,What are ai machines known for doing?,queen,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['ignore', 'enforce', 'authoritarian', 'yell at', 'avoid']}",C
ab8d558bb6d24906075ad1167b671578,Where would there be many people sitting in chair and listening to religious speech?,attending school,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['geography', 'history studies', 'math', 'religion', 'dancing']}",C
75d5c5826a25578a0e6dcd67f039448a,"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?",pay bills,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['personal', 'special', 'shiny', 'rare', 'irregular']}",B
492c66f8eef0a7728604dfde2897fc83,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,chair,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['to be heard', 'receive gifts', 'understand themselves', 'good things in life', 'acknowledgment']}",B
86ea5303d0194c17ac6f6dec5585751d,"People are purposefully harming others, what trait are they exhibiting?",being hungry,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['new mexico', 'forrest', 'dessert', 'garden', 'creek']}",E
e4e75b4db04649655944f498d692a8b0,"Sarah wanted to by a new rug.  Ink spilled onto her old one.  Really, she didn't know what that thing had an inkwell in the first place.  What piece of furniture might have been on her run?",fox,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['tennis racket', 'skill', 'competition', 'tennis court', 'legs']}",A
00d1b14120c83326aefe1efc984c9b99,What do you get for not moving your car during the required time?,lemur,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['do crossword puzzle', 'see art', 'give up', 'grocery shop', 'play chess']}",C
367a52860ea02568f014242ec1967d78,What enables most people to transport themselves?,lemur,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['hole', 'television', 'sporting goods store', 'pool table', 'sporting event']}",E
e3c8dca9b03466e3458d6390d2a743ad,"An electronics store had things damaged from the rain, where should these things be stored?",children,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['backpack', 'dog show', 'chinese food', 'french', 'good hands']}",C
3a8f31e4c2cc4a8afab6bcd8c853ef5d,What is it called when you slowly cook using a grill?,rosebush,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['library', 'study area', 'table', 'classroom', 'shelf']}",B
eae086f7e41faeffd22f8bb5b9e40cbc,"The snake was a cottonmouth.  It was an American, from where?",reproducing,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['radio shack', 'substation', 'cabinet', 'television', 'desk']}",B
ad3aa40dec688333dba0b88e325481ea,Where might I find unusual varieties of roses?,sale,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['carried by people', 'guard house', 'fly', 'follow ultralight airplane', 'group together']}",E
84e0b7bcf49d003734256ef3c4b87671,"The man needed balls of cotton, where should he look?",blowfish,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['cabinet', 'computer printer', 'suitcase', 'office supply store', ""artist's studio""]}",D
a406fbf1b10901edf09bab84f93e1934,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",clarinet,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['helicopter', 'own cars', 'speak words', 'believe in god', 'dance together']}",B
2d7c65a4a693574f855232f94572ca08,What would a camper need to do before he or she can start cooking food?,sex,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['getting fat', 'get fat', 'typing words', 'falling asleep', 'wasted time']}",A
31ebc795c5f16c9aeb57ea1f126f852d,"John enjoyed his time visiting the museum.  He wanted to spend more time there, so that he could study the exhibits more.   He was a very academic person and loved doing what?",chef,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['music store', 'dance hall', 'orchestra', 'symphony', 'tennessee']}",B
53cec6df76ad2fc0d802979682d1ce4e,"The teacher told all the students that listening was key, it was the main way they would gain what?",committing murder,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['going to jail', 'going to prison', 'beat him up', 'get arrested', 'die']}",A
b13d110147ecf24562b64a69df4fe5ad,HOw do you carry potatos home?,going to market,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['russia', 'at home', 'hole', 'field', 'heaven']}",D
79b0fe7bd10df32690a5bd4c70015813,John ran out of pencils.  Where did  he go to get more?,person,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['gain weight', 'augment', 'dispare', 'make larger', 'expand']}",B
e22827c7b297f1d903ecbf4f0f09c9e2,"Bob thought that his Pokemon cards were common and worthless, but he was wrong about them. They were really what?",paper,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['attack', 'suck blood', 'stay', 'lay eggs', 'jump']}",B
700b354741df6b360ca2b18d3eaa90f3,"The man wanted to take a bus, but all the chars were full of people doing what?",rod,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['vomiting', 'pleasure', 'happiness', 'contentment', 'mess']}",D
e1f9e9a9768c9404e1d87cbeb46dbe46,Where in Southern Europe would you find many canals?,flowers,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['industrial area', 'museum', 'barn', 'school', 'office']}",E
8e455fecd2912108d741759ebc26183e,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",losing consciousness,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['republican party', ""old people's home"", 'office', 'park', 'high school or college']}",A
042ce5d57aed06e6988c3739050fb1e4,"It was a great rest, she had never felt this much what in the morning?",entrance hall,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['misfortune', 'fearful', 'criticism', 'make mistakes', 'promotion appraisal']}",C
688772598f69066794067c48197a9ab2,A balloon or two is a staple at a what?,playroom,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['laugh', 'sit', 'being entertained', 'math', 'meet']}",D
fe1c641d51f6b6d6dbde0327bd05254e,East coast areas such as Florida are found where?,yellow,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['meat grinder', 'stable', 'red barn', 'gate', 'green field']}",E
e1c82517131ee52560edaba664cdfb3f,What home entertainment equipment requires cable?,respect,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['look at', 'write down', 'learn new', 'think about', 'discovery of new']}",C
88418e588c6953523a6392ba0ea700dc,what is the goal of going jogging?,connection,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['stress', 'nervousness', 'smile', 'being bored', 'making new friends']}",D
de450d514150b9ff12c25026253116f8,"Traveling underwater has many dangers, such as low visibility causing what?",second floor,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['drill', 'committed murder most vile', 'bargemaster', 'learn', 'understand']}",C
93cdaa3a2af5822034be244004277fa3,What might a kid do with his friend before going to play?,thick,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['exposure', 'patience', 'study', 'cooperation', 'thought']}",D
bb7e95200163d56ff217cba6eae470c8,A water spout was seen in the ocean off the coast of what?,eat,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['examine thing', 'go somewhere', 'knit', 'read book', 'see particular program']}",B
ff6913cfdfa488b1e08b946b59774c92,How can an artist commemorate a horse forever.,meat,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['small', 'underground', 'high', 'huge', 'tall']}",B
256834638b35756bb827c67d8c1a9514,"The dog ran to the front window and barked, this is because of a presence at the what?",chatting with friends,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['burlap sack', 'hot country', 'purse', 'pet shops', 'deep grass']}",C
9765356cd545c84e9131250d0c201c81,"If I have a vintage, decorative light source in my possession, what is it likely to be?",restaurant,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sheath', 'sword closet', 'collection', 'container called scabbard', 'museum']}",B
24bb2394b6bd778b607ca923aee8e994,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",alcoholic,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sore', 'intercourse', 'fatigue', 'become tired', 'expression']}",E
0476192858e7f541611b5c2d3c5e5197,Where is there usually a fiddle playing?,getting paid,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['pine tree', 'open country', 'in washington', 'wildlife refuge', 'sky']}",D
211e134607dc01352600faa14c168fc3,The cabinets were imported from the south. John bought they because he knew that they would look good.  Where might they be installed?,animals,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['go to church', 'appear in court', 'watch soap operas', 'paying attention', 'go into court']}",D
2c1f36267c3663cd1bb22e33f297be1b,What could happen to a paper if you leave it outside even if it does not move?,ficus,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['michigan', 'new york', 'amsterdam', 'venice', 'bridge']}",E
845aeda340c18bda551ff0ccdf8d36ff,Where are people likely to stand at an intersection?,release energy,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['yard', 'basement', 'kitchen', 'living room', 'garden']}",D
1cc14f6c9ae4435ddb4e4c520eee0065,If your watching television and accomplish nothing what have you done?,take bus,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['town', 'carpeting', 'city', 'phone book', 'magazines']}",A
46376ac886af06e85beac37f3391c357,"Though she made the cut years ago, its figurative scars would never what?",pavement,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['expect to die', 'believe in god', 'stay in', 'watch movies', 'eat corn']}",D
bc07822ca1f8892b80d632b9c03e1187,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",get in shape,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['crack', 'antipathy', 'being mean', 'disinterest', 'unfeeling']}",B
6efacba15f0cd3ff31915405875895f8,"John and Jane were a couple.  They were dating for a while and wanted to be together for even longer. For this reason, they did what?",person,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['cold', 'unfamiliar', 'unknown', 'unacquainted', 'shy']}",A
7754a0c77dfd57a207da823796f56031,"If I want to maximize my number of potential customers, where should I build a new department store?",fall,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['go to bed', 'sleep', 'listen to music', 'stretch out', 'stop worrying']}",B
e5560742a17cd947a286bd9554733dd9,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",rock,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['roof', 'room', 'floor', 'apartment', ""neighbor's house""]}",B
3f720c9ad7f3eb99400dd8c81fc269d8,What happens when humans are exposed to noises?,shed,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['jigsaw puzzle', 'chess game', 'puzzle box', 'jigsaw puzzel puxxle', 'puxxle']}",D
397efef2f7c69fbb8f7507f2907196e3,The president is the leader of what institution?,losing weight,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['making love', 'feel good', 'happyness', 'wonderful thing', 'cloud judgment']}",E
b910b271ebb1f2c795ac46ac0122d216,Where would someone learn to play an upright piano?,people,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['necklace', 'wall outlet fixture', 'tool box', 'computer', 'motorcycle']}",E
02c5b92d97670cdd5fbf7a1f697fbff8,"The person was looking up airline and hotel prices, what was he looking to do?",moving car,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': [""neighbor's house"", 'bridge', 'home', 'homeless shelter', 'prison']}",A
781f925a12dc5d88bda34e1e628f4978,What might two people competing get into?,people,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['contagious', 'wrong', 'last forever', 'painful', 'blind']}",C
304200a3cd10da12a92022893f0fe3fc,"Many addicts turn to exercise to deal with their addictions, this is because it is a healthy way to do what?",person,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['condition heart', 'expend energy', 'laugh', 'stretch', 'weigh']}",A
c25090c0c98a9f6d3422fc18ad619485,Jimmy didn't like going to the party.  It seemed like the guys there did nothing but what?,reduce,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['arrogate', 'retain', 'embrace', 'smile', 'engage']}",A
a5f436e425801bdf540464ddec588dee,Where would you go if you didn't feel like baking a cake yourself?,car,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['train station', 'bookstore', 'newsstand', 'waiting room', 'airport']}",E
b5dcece38a7c1ab91361f111dabee582,John came to see Sam and Sam kicked him out.  Sam didn't like company.  He prefered what?,fox,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['cook dinner', 'make bread', 'eat in restaurant', 'have lunch', 'make bread']}",E
d27d0465137f3c709426eccae98acbe5,If you were looking for a lemur where would you find it?,yard,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sadness', 'happiness', 'amusement', 'losing money', 'anger']}",A
77a4a131e9083f6a4c70e8f88df54056,Who was the head of the branch yelling at?,screw,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['further cause', 'wave goodbye', 'attempt suicide', 'insulting them', 'thank god']}",B
b63b9809c203321d6659ddf8551894bf,What treatment might an old time doctor have tried to accomplish with leeches?,temple,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sights', 'optical illusion', 'optical telescope', 'light microscope', 'binocular']}",C
fb721d7949d06915a2dd6fc6ec815325,Where could you find a bookstore?,geese,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['backyard', 'restaurant', 'crockpot', ""neighbor's house"", 'barbeque']}",C
97d678a2a55ea859204844755746a326,Where does a person need to get when they have more kids?,parking lot,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['student union', 'mall', 'department store', 'library', 'town or city']}",E
43421bedbb69408f17f0bd9a6f13922c,What is a characteristic of thin glass?,glue,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['park', 'make time for', 'receive instructions', 'take money', 'leave work']}",C
1958f3bf80c4515629f0d342c540c0b8,What can happen to you when eating hamburger from someone that you do not know that does not happen when you usually eat a hamburger?,customers,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['demonstration', 'conference', 'building', 'garage', 'mouth']}",C
a261d4eaf8b33c0730d830ebbffbd9f8,What does someone want when having fun with their friends and trying to fit in?,paper,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['outside', 'vacation', 'idle', 'apartment', 'neighborhood']}",A
cd7439b24b8780701f54303183a58396_1,Where would you find performers on a platform in public?,bookshop,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['running', 'have fun', 'balls touch', 'winning', 'get tired']}",B
c02d5e5c3854a0e4b5aa8d4c0fa2cfde,What building has a ot of glue bottles?,basketball court,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['mountains countryside', 'ground', 'bridge', 'mountain range', 'surface of earth']}",D
